Date,Passages_Hebdo,Lits_Capacite,Indice_Tension
2019-01-07,2740,2250,17.4
2019-01-14,2740,2250,17.4
2019-01-21,2740,2250,17.4
2019-01-28,2740,2250,17.4
2019-02-04,2760,2250,17.5
2019-02-11,2770,2250,17.6
2019-02-18,2770,2250,17.6
2019-02-25,2770,2250,17.6
2019-03-04,2550,2250,16.2
2019-03-11,2380,2250,15.1
2019-03-18,2380,2250,15.1
2019-03-25,2380,2250,15.1
2019-04-01,2380,2250,15.1
2019-04-08,2340,2250,14.9
2019-04-15,2340,2250,14.9
2019-04-22,2340,2250,14.9
2019-04-29,2340,2250,14.9
2019-05-06,2170,2250,13.8
2019-05-13,2150,2250,13.7
2019-05-20,2150,2250,13.7
2019-05-27,2150,2250,13.7
2019-06-03,2230,2250,14.2
2019-06-10,2340,2250,14.9
2019-06-17,2340,2250,14.9
2019-06-24,2340,2250,14.9
2019-07-01,2300,2250,14.6
2019-07-08,2030,2250,12.9
2019-07-15,2030,2250,12.9
2019-07-22,2030,2250,12.9
2019-07-29,2030,2250,12.9
2019-08-05,1770,2250,11.2
2019-08-12,1670,2250,10.6
2019-08-19,1670,2250,10.6
2019-08-26,1670,2250,10.6
2019-09-02,1860,2250,11.8
2019-09-09,2340,2250,14.9
2019-09-16,2340,2250,14.9
2019-09-23,2340,2250,14.9
2019-09-30,2340,2250,14.9
2019-10-07,2380,2250,15.1
2019-10-14,2380,2250,15.1
2019-10-21,2380,2250,15.1
2019-10-28,2380,2250,15.1
2019-11-04,2570,2250,16.3
2019-11-11,2710,2250,17.2
2019-11-18,2710,2250,17.2
2019-11-25,2710,2250,17.2
2019-12-02,2890,2250,18.3
2019-12-09,3340,2250,21.2
2019-12-16,3340,2250,21.2
2019-12-23,3340,2250,21.2
2019-12-30,3340,2250,21.2
2020-01-06,2190,2121,14.8
2020-01-13,2000,2100,13.6
2020-01-20,2000,2100,13.6
2020-01-27,2000,2100,13.6
2020-02-03,2060,2100,14.0
2020-02-10,2140,2100,14.6
2020-02-17,2140,2100,14.6
2020-02-24,2140,2100,14.6
2020-03-02,1910,2100,13.0
2020-03-09,1330,2100,9.0
2020-03-16,1330,2100,9.0
2020-03-23,1330,2100,9.0
2020-03-30,1330,2100,9.0
2020-04-06,980,2100,6.7
2020-04-13,920,2100,6.3
2020-04-20,920,2100,6.3
2020-04-27,920,2100,6.3
2020-05-04,1160,2100,7.9
2020-05-11,1330,2100,9.0
2020-05-18,1330,2100,9.0
2020-05-25,1330,2100,9.0
2020-06-01,1410,2100,9.6
2020-06-08,1840,2100,12.5
2020-06-15,1840,2100,12.5
2020-06-22,1840,2100,12.5
2020-06-29,1840,2100,12.5
2020-07-06,1790,2100,12.2
2020-07-13,1780,2100,12.1
2020-07-20,1780,2100,12.1
2020-07-27,1780,2100,12.1
2020-08-03,1590,2100,10.8
2020-08-10,1330,2100,9.0
2020-08-17,1330,2100,9.0
2020-08-24,1330,2100,9.0
2020-08-31,1330,2100,9.0
2020-09-07,2070,2100,14.1
2020-09-14,2070,2100,14.1
2020-09-21,2070,2100,14.1
2020-09-28,2070,2100,14.1
2020-10-05,1860,2100,12.7
2020-10-12,1780,2100,12.1
2020-10-19,1780,2100,12.1
2020-10-26,1780,2100,12.1
2020-11-02,1730,2100,11.8
2020-11-09,1610,2100,11.0
2020-11-16,1610,2100,11.0
2020-11-23,1610,2100,11.0
2020-11-30,1610,2100,11.0
2020-12-07,2220,2100,15.1
2020-12-14,2220,2100,15.1
2020-12-21,2220,2100,15.1
2020-12-28,2220,2100,15.1
2021-01-04,2240,2146,14.9
2021-01-11,2250,2180,14.7
2021-01-18,2250,2180,14.7
2021-01-25,2250,2180,14.7
2021-02-01,2280,2180,14.9
2021-02-08,2490,2180,16.3
2021-02-15,2490,2180,16.3
2021-02-22,2490,2180,16.3
2021-03-01,2340,2180,15.3
2021-03-08,1500,2180,9.8
2021-03-15,1500,2180,9.8
2021-03-22,1500,2180,9.8
2021-03-29,1500,2180,9.8
2021-04-05,1160,2180,7.6
2021-04-12,1030,2180,6.7
2021-04-19,1030,2180,6.7
2021-04-26,1030,2180,6.7
2021-05-03,1230,2180,8.1
2021-05-10,1500,2180,9.8
2021-05-17,1500,2180,9.8
2021-05-24,1500,2180,9.8
2021-05-31,1500,2180,9.8
2021-06-07,2060,2180,13.5
2021-06-14,2060,2180,13.5
2021-06-21,2060,2180,13.5
2021-06-28,2060,2180,13.5
2021-07-05,2020,2180,13.2
2021-07-12,2000,2180,13.1
2021-07-19,2000,2180,13.1
2021-07-26,2000,2180,13.1
2021-08-02,1850,2180,12.1
2021-08-09,1500,2180,9.8
2021-08-16,1500,2180,9.8
2021-08-23,1500,2180,9.8
2021-08-30,1500,2180,9.8
2021-09-06,2200,2180,14.4
2021-09-13,2320,2180,15.2
2021-09-20,2320,2180,15.2
2021-09-27,2320,2180,15.2
2021-10-04,2140,2180,14.0
2021-10-11,2000,2180,13.1
2021-10-18,2000,2180,13.1
2021-10-25,2000,2180,13.1
2021-11-01,1970,2180,12.9
2021-11-08,1800,2180,11.8
2021-11-15,1800,2180,11.8
2021-11-22,1800,2180,11.8
2021-11-29,1800,2180,11.8
2021-12-06,2400,2180,15.7
2021-12-13,2500,2180,16.4
2021-12-20,2500,2180,16.4
2021-12-27,2500,2180,16.4
2022-01-03,1430,2180,9.4
